Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
AC;1200013;Acrelândia;303,76;18,31;
AC;1200054;Assis Brasil;291,33;22,52;
AC;1200104;Brasiléia;376,07;22,03;
AC;1200138;Bujari;340,95;16,88;
AC;1200179;Capixaba;336,17;14,9;
AC;1200203;Cruzeiro do Sul;450,06;29,4;
AC;1200252;Epitaciolândia;467,83;28,02;
AC;1200302;Feijó;259,43;17,18;
AC;1200328;Jordão;178,03;13,84;
AC;1200336;Mâncio Lima;295,5;25,95;
AC;1200344;Manoel Urbano;307,7;18,62;
AC;1200351;Marechal Thaumaturgo;157,27;11,76;
AC;1200385;Plácido de Castro;321,16;21,7;
AC;1200393;Porto Walter;204,19;15,21;
AC;1200401;Rio Branco;744,67;41,33;
AC;1200427;Rodrigues Alves;200,58;18,85;
AC;1200435;Santa Rosa do Purus;201,58;18,71;
AC;1200450;Senador Guiomard;455,06;22,33;
AC;1200500;Sena Madureira;320,8;23,02;
AC;1200609;Tarauacá;251,53;15,49;
AC;1200708;Xapuri;382,24;20,9;
AC;1200807;Porto Acre;319,71;15,65;
AL;2700102;Água Branca;213;13,26;
AL;2700201;Anadia;239,53;16,2;
AL;2700300;Arapiraca;423,28;23,85;
AL;2700409;Atalaia;237,33;12,42;
AL;2700508;Barra de Santo Antônio;247,81;14,23;
AL;2700607;Barra de São Miguel;422,78;22,71;
AL;2700706;Batalha;265,62;17,09;
AL;2700805;Belém;309,5;16,14;
AL;2700904;Belo Monte;187,77;7,86;
AL;2701001;Boca da Mata;260,2;19,69;
AL;2701100;Branquinha;221,93;8,51;
AL;2701209;Cacimbinhas;259,72;10,93;
AL;2701308;Cajueiro;232,85;14,18;
AL;2701357;Campestre;245,43;17,76;
AL;2701407;Campo Alegre;217,72;14,9;
AL;2701506;Campo Grande;181,54;8,87;
AL;2701605;Canapi;183,83;9,29;
AL;2701704;Capela;251,36;17,47;
AL;2701803;Carneiros;199,58;11,11;
AL;2701902;Chã Preta;226,6;17,12;
AL;2702009;Coité do Nóia;203,15;9,17;
AL;2702108;Colônia Leopoldina;242,28;14,29;
AL;2702207;Coqueiro Seco;299,47;20,78;
AL;2702306;Coruripe;315,85;18,69;
AL;2702355;Craíbas;199,54;9,58;
AL;2702405;Delmiro Gouveia;332,13;16,91;
AL;2702504;Dois Riachos;194,81;9,52;
AL;2702553;Estrela de Alagoas;196,92;7,29;
AL;2702603;Feira Grande;193,07;9,01;
AL;2702702;Feliz Deserto;245,49;15,11;
AL;2702801;Flexeiras;213,44;11,25;
AL;2702900;Girau do Ponciano;177,55;10;
AL;2703007;Ibateguara;199,68;8,82;
AL;2703106;Igaci;241,17;10,56;
AL;2703205;Igreja Nova;254,34;9,54;
AL;2703304;Inhapi;180,64;6,46;
AL;2703403;Jacaré dos Homens;235,11;11,57;
AL;2703502;Jacuípe;219,52;12,46;
AL;2703601;Japaratinga;260,92;16,43;
AL;2703700;Jaramataia;219,1;12,33;
AL;2703759;Jequiá da Praia;199,39;11,9;
AL;2703809;Joaquim Gomes;190,23;7,73;
AL;2703908;Jundiá;282,87;14,36;
AL;2704005;Junqueiro;306,96;14,94;
AL;2704104;Lagoa da Canoa;231,56;12,76;
AL;2704203;Limoeiro de Anadia;285,98;11,42;
AL;2704302;Maceió;792,54;41,83;
AL;2704401;Major Isidoro;270,04;13,47;
AL;2704500;Maragogi;253,86;17,6;
AL;2704609;Maravilha;229,39;13,63;
AL;2704708;Marechal Deodoro;431,43;26,28;
AL;2704807;Maribondo;297,05;16,14;
AL;2704906;Mar Vermelho;229,81;15,99;
AL;2705002;Mata Grande;186,87;9,49;
AL;2705101;Matriz de Camaragibe;231,82;17,6;
AL;2705200;Messias;256,45;16,25;
AL;2705309;Minador do Negrão;231,37;9,31;
AL;2705408;Monteirópolis;176,62;11,03;
AL;2705507;Murici;233,16;13,28;
AL;2705606;Novo Lino;239,75;12,9;
AL;2705705;Olho d'Água das Flores;274,46;16,61;
AL;2705804;Olho d'Água do Casado;211,97;9,83;
AL;2705903;Olho d'Água Grande;151,62;10,34;
AL;2706000;Olivença;195,19;8,92;
AL;2706109;Ouro Branco;227,56;16,11;
AL;2706208;Palestina;185,39;15,98;
AL;2706307;Palmeira dos Índios;391,37;22,89;
AL;2706406;Pão de Açúcar;224,33;18,25;
AL;2706422;Pariconha;211,13;10,13;
AL;2706448;Paripueira;324,93;19,28;
AL;2706505;Passo de Camaragibe;194,73;12,06;
AL;2706604;Paulo Jacinto;247,2;19,09;
AL;2706703;Penedo;339,15;24,37;
AL;2706802;Piaçabuçu;227,65;14,76;
AL;2706901;Pilar;292,06;20,64;
AL;2707008;Pindoba;292,88;12,64;
AL;2707107;Piranhas;265,96;17,04;
